Id,Label,timeset,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
angel61313690,angel61313690,,0,0,0,0,0,0,0,0
rahmarasyid1,rahmarasyid1,,0,0,0,0,0,0,0,0
gma,gma,,0,0,0,0,0,0,0,0
duchess_sassy,duchess_sassy,,0,0,0,0,0,0,0,0
royal_insider,royal_insider,,0,0,0,0,0,0,0,0
andismom4,andismom4,,0,0,0,0,0,0,0,0
perry_t,perry_t,,0,0,0,0,0,0,0,0
mobesillo19,mobesillo19,,0,0,0,0,0,0,0,0
home_nextdoor,home_nextdoor,,0,0,0,0,0,0,0,0
realcambridges,realcambridges,,0,0,0,0,0,0,0,25
hrrysgreysuit,hrrysgreysuit,,0,0,0,0,0,0,0,0
piersmorgan,piersmorgan,,0,0,0,0,0,0,0,0
hollyoaks,hollyoaks,,0,0,0,0,0,0,0,0
byeedon46,byeedon46,,0,0,0,0,0,0,0,0
toryman5,toryman5,,0,0,0,0,0,0,0,0
astroxanda,astroxanda,,0,0,0,0,0,0,0,0
allen_bronia,allen_bronia,,0,2,2,1,1,1,0,13
tatlermagazine,tatlermagazine,,0,0,0,0,0,0,0,0
queen_gr,queen_gr,,0,0,0,0,0,0,0,0
authorkenna,authorkenna,,0,0,0,0,0,0,0,0
dailystuffmag,dailystuffmag,,0,0,0,0,0,0,0,0
lily32673624,lily32673624,,0,1,1,1,1,1,0,9
clarencehouse,clarencehouse,,0,0,0,0,0,0,0,0
rujutaashah,rujutaashah,,0,0,0,0,0,0,0,0
allsussextweets,allsussextweets,,1,0,1,0,0,0,0,26
marie33rowan,marie33rowan,,0,0,0,0,0,0,0,0
readerwichita,readerwichita,,0,2,2,1,1,1,0,8
regalmonarchist,regalmonarchist,,0,0,0,0,0,0,0,0
mrsmarvelous3,mrsmarvelous3,,0,0,0,0,0,0,0,0
stmargaret_mary,stmargaret_mary,,2,0,2,0,0,0,0,9
jamesch70976064,jamesch70976064,,0,0,0,0,0,0,0,27
fastrocketbsc,fastrocketbsc,,0,0,0,0,0,0,0,0
catefortier,catefortier,,0,0,0,0,0,0,0,0
ktforman79,ktforman79,,0,0,0,0,0,0,0,0
willina_m,willina_m,,0,0,0,0,0,0,0,28
troubleshade,troubleshade,,0,0,0,0,0,0,0,0
ellievhall,ellievhall,,0,0,0,0,0,0,0,0
educationgovuk,educationgovuk,,0,0,0,0,0,0,0,0
ilse40024804,ilse40024804,,0,0,0,0,0,0,0,0
libmannnsaxhss,libmannnsaxhss,,1,0,1,0,0,0,0,29
boibirmingham,boibirmingham,,0,0,0,0,0,0,0,0
or2an,or2an,,0,0,0,0,0,0,0,0
robrousseau,robrousseau,,1,0,1,0,0,0,0,3
w_selwa,w_selwa,,0,0,0,0,0,0,0,0
starrup2,starrup2,,0,0,0,0,0,0,0,0
regalfille,regalfille,,0,0,0,0,0,0,0,0
chris_notcapn,chris_notcapn,,1,0,1,0,0,0,0,3
chanzyoni,chanzyoni,,0,0,0,0,0,0,0,0
recruitsrhuman2,recruitsrhuman2,,0,0,0,0,0,0,0,0
chicken_soup88,chicken_soup88,,0,0,0,0,0,0,0,0
chrm_q,chrm_q,,0,0,0,0,0,0,0,0
mediakat1912,mediakat1912,,0,0,0,0,0,0,0,0
nannydeb79,nannydeb79,,0,1,1,1,1,1,0,9
mytruthy,mytruthy,,0,0,0,0,0,0,0,0
archewellbaby,archewellbaby,,0,0,0,0,0,0,0,0
mygaals20,mygaals20,,0,0,0,0,0,0,0,0
sussexdetectiv1,sussexdetectiv1,,0,0,0,0,0,0,0,0
sarah30twig,sarah30twig,,0,0,0,0,0,0,0,0
fairsociety3,fairsociety3,,0,0,0,0,0,0,0,0
skaigr,skaigr,,0,0,0,0,0,0,0,0
shecometh,shecometh,,0,0,0,0,0,0,0,0
evamisgo,evamisgo,,0,0,0,0,0,0,0,0
shush421,shush421,,0,0,0,0,0,0,0,0
ombellla,ombellla,,0,0,0,0,0,0,0,0
cherylsmilesx,cherylsmilesx,,0,0,0,0,0,0,0,0
stella_jacob4,stella_jacob4,,0,0,0,0,0,0,0,0
sustulsa,sustulsa,,0,1,1,1,1,1,0,29
payal19901,payal19901,,0,0,0,0,0,0,0,0
brokenbottleboy,brokenbottleboy,,0,0,0,0,0,0,0,0
sparklemeghan,sparklemeghan,,0,0,0,0,0,0,0,0
wolfcoinx,wolfcoinx,,0,0,0,0,0,0,0,0
princebarock,princebarock,,0,0,0,0,0,0,0,0
bella12736714,bella12736714,,0,1,1,1,1,1,0,9
roccohowat1,roccohowat1,,0,0,0,0,0,0,0,0
wabbey,wabbey,,2,0,2,0,0,0,0,9
onewomanwarrior,onewomanwarrior,,0,0,0,0,0,0,0,0
theroyalcharter,theroyalcharter,,0,0,0,0,0,0,0,0
charlottefan20,charlottefan20,,0,0,0,0,0,0,0,0
debbers97,debbers97,,0,0,0,0,0,0,0,0
tudorchick1501,tudorchick1501,,0,0,0,0,0,0,0,0
rose_tootla,rose_tootla,,0,0,0,0,0,0,0,0
hazandmeg,hazandmeg,,0,0,0,0,0,0,0,30
brian79625970,brian79625970,,0,0,0,0,0,0,0,0
dreamca71926451,dreamca71926451,,0,0,0,0,0,0,0,0
