Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree
justice83169188,justice83169188,,0,0,0,0,0,0,0,0
crimlaw69,crimlaw69,,0,0,0,0,0,0,0,0
crayon78848049,crayon78848049,,0,0,0,0,0,0,0,0
mitchbytes,mitchbytes,,0,0,0,0,0,0,0,0
cnn,cnn,,0,0,0,0,5,0,0,0
duchessofpoms,duchessofpoms,,0,0,0,0,0,0,0,0
busty01,busty01,,1,1,1,1,9,1,1,2
pbjpius,pbjpius,,0,0,0,0,0,0,0,0
nicolagormley,nicolagormley,,0,0,0,0,6,0,0,0
librevzl,librevzl,,0,0,0,0,0,0,0,0
bhaddhad,bhaddhad,,0,0,0,0,0,0,0,0
armyboard2020,armyboard2020,,0,0,0,0,0,0,0,0
permsecmod,permsecmod,,0,0,0,0,0,0,0,0
athomeknitting,athomeknitting,,0,0,0,0,0,0,0,0
djb_aviaition,djb_aviaition,,0,0,0,0,0,0,0,0
armycgs,armycgs,,0,0,0,0,0,0,0,0
simonc43174444,simonc43174444,,0,0,0,0,0,0,0,0
akasmudge,akasmudge,,0,0,0,0,0,0,0,0
lankaprince,lankaprince,,0,0,0,0,0,0,0,0
bbcnews,bbcnews,,0,0,0,0,13,2,0,2
ukcivilservice,ukcivilservice,,0,0,0,0,0,0,0,0
martymaclaugh,martymaclaugh,,0,0,0,0,0,0,0,0
dailymirror,dailymirror,,0,0,0,0,7,8,0,8
eaglejack11,eaglejack11,,0,0,0,0,0,0,0,0
dcpurcell,dcpurcell,,0,0,0,0,0,0,0,0
annealmd,annealmd,,0,0,0,0,0,0,0,0
book_worm3,book_worm3,,0,0,0,0,0,0,0,0
edserstars,edserstars,,0,0,0,0,17,1,0,1
sucuzcu,sucuzcu,,0,0,0,0,0,0,0,0
royalfamily,royalfamily,,0,0,0,0,9,2,0,2
322messenger,322messenger,,0,0,0,0,0,0,0,0
timeanddate,timeanddate,,0,0,0,0,0,0,0,0
libmannnsaxhss,libmannnsaxhss,,0,0,0,0,16,4,0,4
eviethats,eviethats,,0,0,0,0,0,0,0,0
traceynew,traceynew,,0,0,0,0,0,0,0,0
byqueenvic,byqueenvic,,0,0,0,0,0,0,0,0
chloe007summer,chloe007summer,,0,0,0,0,0,0,0,0
nigel_farage,nigel_farage,,0,0,0,0,0,0,0,0
deshveen,deshveen,,0,0,0,0,0,0,0,0
gatitonic1968,gatitonic1968,,1,1,1,25.5,9,4,2,6
danielcyberman,danielcyberman,,0,0,0,0,0,0,0,0
jacobgaiiagher,jacobgaiiagher,,0,0,0,0,0,0,0,0
peggyannblack,peggyannblack,,0,0,0,0,0,0,0,0
muscadaisy,muscadaisy,,0,0,0,0,0,0,0,0
lizzleinbrizzle,lizzleinbrizzle,,0,0,0,0,0,0,0,0
theroyaleditor,theroyaleditor,,0,0,0,0,0,0,0,0
italoscott1,italoscott1,,0,0,0,0,0,0,0,0
kedge23,kedge23,,0,0,0,0,0,0,0,0
ksuarez77,ksuarez77,,0,0,0,0,0,0,0,0
bethvaughan15,bethvaughan15,,0,0,0,0,0,0,0,0
editordeedee,editordeedee,,0,0,0,0,0,0,0,0
mimizwei,mimizwei,,1,1,1,2,13,1,2,3
maggierulli,maggierulli,,0,0,0,0,0,0,0,0
icklenoni,icklenoni,,0,0,0,0,0,0,0,0
anne_marchant,anne_marchant,,0,0,0,0,0,0,0,0
purpleo95454503,purpleo95454503,,1,1,1,0,15,0,2,2
rfitzwilliams,rfitzwilliams,,0,0,0,0,0,0,0,0
barbarajgubbins,barbarajgubbins,,0,0,0,0,0,0,0,0
tombradby,tombradby,,0,0,0,0,0,0,0,0
cbsnews,cbsnews,,0,0,0,0,13,2,0,2
uklpsl,uklpsl,,5,0.314685,0.397037,0,9,0,6,6
meghanistbackup,meghanistbackup,,0,0,0,0,0,0,0,0
lond0ncall1ng,lond0ncall1ng,,0,0,0,0,0,0,0,0
madelei28864095,madelei28864095,,0,0,0,0,0,0,0,0
independent,independent,,0,0,0,0,7,2,0,2
bart_sheriff,bart_sheriff,,0,0,0,0,0,0,0,0
ellllaa_,ellllaa_,,0,0,0,0,0,0,0,0
galway_pixie,galway_pixie,,0,0,0,0,0,0,0,0
hammettkat,hammettkat,,0,0,0,0,0,0,0,0
foxiloulou,foxiloulou,,2,0.833333,0.9,0,1,0,4,4
